Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	rm3n				0	# Introduction to Deuteronomy\n\n## Part 1: General Introduction\n\n### Outline of Deuteronomy\n\n1. The author’s introduction of Moses’ speech (1:1–5)\n2. Moses’ first speech (1:6–4:40)\n3. Cities of refuge selected for the Reubenites, Gadites, and Manassites (4:41–43)\n4. The author’s introduction of the Law (4:44–49)\n5. Moses’ second speech (5:1–26:19)\n6. Moses’ third speech (27:1–28:68)\n7. The author’s summary (29:1)\n8. The covenant renewed (29:2–30:20)\n9. Last words of Moses, the Song of Moses, and his death (31:1–34:12)\n\n### What is the book of Deuteronomy about?\n\nIn the book of Deuteronomy, Moses repeats the laws of the covenant that God made with the people of Israel. The people of Israel are about to go into the land that Yahweh had promised them. Before they enter the land, Moses reminds them of what Yahweh did for them and what he expects from them. Moses warns the people about worshiping idols and no longer trusting Yahweh once they settle in the land. Yahweh promises to judge those who disobey him and to bless those who obey his law. (See: [[rc://*/tw/dict/bible/kt/covenant]])\n\n### How should the title of this book be translated?\n\nThe name “Deuteronomy” means “Second Law” or “the retelling of the Law.” Translators may decide on a title such as “A Repeat of the Law” or “Moses Explains the Law Again.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the book of Deuteronomy?\n\nThe writers of both the Old and New Testament present Moses as being very involved with writing the book of Deuteronomy. However, many scholars think that Joshua wrote chapter 34, which tells how Moses died.\n\n### What are the important features of the book of Deuteronomy?\n\nThe book contains a series of speeches that Moses gave to Israel before he died. He spoke these things just before the people entered the land that Yahweh had promised them. (See: [[rc://*/tw/dict/bible/kt/promisedland]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Why does Yahweh command the Israelites to completely destroy the Canaanite people who live in the land that Yahweh had promised them?\n\nAs Yahweh prepares the Israelites to enter the land that Yahweh had promised them, he commands them to completely destroy the Canaanite people who live there. The Israelites will then not be tempted to join them in worship of their false gods.\n\n## Part 3: Important Translation Issues\n\n### “the place that Yahweh your God will choose to make his name stay,” and “the place that Yahweh your God chooses to put his name”\n\nThe author uses these two phrases, and several other very similar phrases, in Deuteronomy chapters 12, 14, 16, and 26. In them God’s name represents his reputation and presence. These phrases indicate that God would choose a place and make his presence and reputation stay there. That place would be the future temple. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### Can this book be translated before the rest of the Pentateuch?\n\nThe books of Genesis and Exodus help to explain what happens in Deuteronomy. For this reason, those books should be translated before the book of Deuteronomy.\n\n### One direct quotation inside another\n\nSince this book consists of Moses’ speeches, many parts of this book are direct quotations. Within his speeches, Moses directly quotes what others said. If it would be clearer in your language, you could translate or format these passages so that there are not quotations within a quotation. (See [[rc://*/ta/man/translate/figs-quotesinquotes]])\n\n### Introducing direct quotations\n\nThe author of Deuteronomy often uses the word “saying” or “said” to introduce direct quotations even when there is another word describing speaking or commanding. Some languages do not use a word like this. Consider natural ways of introducing direct quotations in your language. (See [[rc://*/ta/man/translate/writing-quotations]])\n\n### Speaking about a future event using the past tense\n\nIn Deuteronomy, Moses and Yahweh often speak of a future event using the past tense. For example, speaking of the land that Yahweh had promised them, Yahweh tells the Israelites in [1:8](../01/08.md) “I have given the land to” you. In [1:21](../01/21.md) Moses tells the Israelites “Yahweh your God has given the land to” you. At the time Yahweh and Moses said these things to the Israelites they had not yet occupied the land that Yahweh had promised them. Moses and Yahweh are using the past tense in order to refer to something that will happen in the future. They are doing this to show that the event will certainly happen. Another example is [2:24](../02/24.md), where Moses quotes Yahweh’s words “I have given into your hand Sihon the Amorite, king of Heshbon, and his land.” Yahweh is using the past tense to emphasize that, in the future, he will certainly enable the Israelites to conquer Sihon and his land. If it would be helpful in your language, you could use the future tense, instead of the past tense, in these three passages and in the other passages in Deuteronomy where the past tense is used to refer to a future event.\n(See: [[rc://*/tw/dict/bible/kt/promisedland]] and [[rc://*/ta/man/translate/translate-tense]])\n\n### “your God,” “my God,” and “our God”\n\nThroughout this book, Moses refers to Yahweh with possessive forms such as “your God,” “my God,” and “our God” when he speaks to the Israelites. By using these possessive forms, Moses is not saying that the Israelites possess or control Yahweh. Rather Moses is using these words to indicate that Yahweh is the God whom the Israelites worship. Also, when Moses says, “your God,” he is referring to the same God that he also worships. He is not distinguishing between the God of the Israelites and his own God. (See [[rc://*/ta/man/translate/figs-possession]])\n\n### Moses’ audience\n\nIn his speeches, Moses speaks to the Israelites who will enter into the land that Yahweh promised to give to them. Moses reminds them about events that happened to their ancestors and to them. If it would be helpful for your readers, you could state explicitly that Moses is talking about their ancestors even when he directly addresses the living Israelites as “you.” (See [[rc://*/ta/man/translate/writing-pronouns]])\n\n### “you” and “your” singular and plural\n\nAlthough Moses is speaking to all the Israelites, he often addresses them as “you” singular. Moses wants each of the individual Israelites to think about what he is saying. If it would not be natural in your language to address a group with a singular pronoun, you can use the plural “you” when Moses is speaking to all the Israelites. (See [[rc://*/ta/man/translate/writing-pronouns]] and [[rc://*/ta/man/translate/figs-youcrowd]])\n\n### “to the face of”\n\nOften the author or character use the expression “to the face of” to mean “before,” “in front of,” or “in the presence of” a person or thing. This is by association with the way one can see the face of a person who is present and the way people typically face forward, toward what is before or in front of them. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### “in the eyes of” and “eyes of”\n\nThe author and characters often use the common expression “in the eyes of” to mean in someone’s estimation, opinion, or judgment. For example, Moses speaks of the Israelites doing “evil in the eyes of Yahweh” in [4:25](../04/25.md), meaning doing what Yahweh considered wrong. (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “seed”\n\n12 times in Deuteronomy the term **seed** is used with the meaning “offspring” or “descendants.” This use is a word picture. Just as plants produce seeds that grow into more plants, so people can have offspring. If it would be helpful in your language, you could use an equivalent metaphor from your culture. Alternatively, you could express the meaning plainly. In Deuteronomy all uses of the word “seed” refer to descendants except in where this term refers to literal seed that is planted in the ground. (See: [[rc://*/tw/dict/bible/other/seed]] and [[rc://*/ta/man/translate/figs-metaphor]])\n\n### “listen”\n\nIn this book the term “listen” normally, but not always, means complying with what someone has said. When humans “listen” in this sense, the term means “obey,” as when the Moses says to the Israelites in [1:43](../01/43.md) “I spoke to you, but you did not listen.” Moses means, “I spoke to you what Yahweh had commanded me to tell you, but you did not obey.” When Yahweh “listens” in this sense, it means that he does what someone asks in prayer. For example, when Moses says regarding his prayer to Yahweh in [3:26](../03/26.md) in which he requested that Yahweh let him cross the Jordan and see the land that Yahweh had promised them, Moses says “But Yahweh was angry with me because of you, and he did not listen to me.” Moses means that Yahweh was angry with him and did not comply with his request to enter land. (See: [[rc://*/ta/man/translate/figs-explicit]])\n\n### “voice”\n\nIn this book the word “voice” is often used by association to mean what God or a person said by using their voice. For example, in [8:20](../08/20.md) Moses said to the Israelites, “because you would not listen to the voice of Yahweh your God” by which he meant “because you would not listen to what Yahweh your God said to you” or “because you would not listen to the commands that Yahweh your God gave you.” (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### “go up,” “went up,” “went down,” and “brought down”\n\nIn Hebrew, writers and speakers generally indicated whether people were going up to a higher elevation or going down to a lower elevation when they traveled. For example, in [34:1](../34/01.md) the author records that “Moses went up from the plains of Moab to Mount Nebo.” In [1:41](../01/41.md), the Israelites say “We ourselves shall go up and fight” by which they mean “We ourselves shall go up to the hill country to fight.” If your language does not mark travel for change in elevation, you can translate instances such as these simply as “go” or “went” instead of “go up” or “went up” or “went down.”\n\n### “to this day” or “until this day”\n\nThe author used this phrase to refer to the time when he was writing. The translator should be aware that “to this day” or “until this day” refers to a time that is now in the past. He must avoid giving the impression to his readers that “to this day” means “to the present day.” The translator might decide to use an equivalent phrase such as “at the time of this writing.” (See: [[rc://*/ta/man/translate/figs-metonymy]])
1:intro	ggp9				0	# Deuteronomy 1 Chapter Introduction\n\n## Structure and Formatting\n\nThis chapter forms a continuation with the last chapter of the book of Numbers. In this chapter is Moses’ first speech to the Israelites.\n\n1. The author’s introduction of Moses’ speech (1–5)\n2. Moses reminds the Israelites of Yahweh’s instructions at Mount Horeb to leave Mount Horeb and begin possessing the land that Yahweh had promised them (6–8)\n3. Moses chooses judges and military leaders (9–18)\n4. Moses recounts the Israelites leaving Mount Horeb and traveling through the wilderness and coming to the hill country of the Amorites and sending out spies to survey the land (19–25)\n5. The Israelites unbelief and fear (26–28)\n6. Moses’ encourages the Israelites and they persist in their unbelief (29–33)\n7. Yahweh’s response (34–40)\n8. The response of the Israelites (41–45)\n9. Moses’ summary statement (46)\n\n## Religious and Cultural Concepts in This Chapter\n\n### Possessing the land\n\nMoses reminds the Israelites of Yahweh’s command at Mount Horeb to enter and possess the land that Yahweh had promised them. He reminds the Israelites that Yahweh promised he would give them the land of Canaan if they obeyed him. Other people lived in the land, but Yahweh promised to give the Israelites victory over them. (See: [[rc://*/tw/dict/bible/kt/faithful]] and [[rc://*/tw/dict/bible/kt/promisedland]])\n\n## Translation Issues in This Chapter\n\n### One direct quotation inside another\n\nIn this chapter, Moses gives a speech in which he quotes what others have said. If it would be clearer in your language, you could translate or format this passage so that there are no quotations within quotations. (See [[rc://*/ta/man/translate/figs-quotesinquotes]])\n\n### Time background\n\nIn his speech, Moses reminds the Israelites about what happened to their ancestors when they were camping at Mount Horeb. Throughout his speech, Moses repeats the phrase “at that time” to refer to new topics that occurred during that time period. If it would be helpful for your readers, you could state this information explicitly. (See: [[rc://*/ta/man/translate/writing-newevent]])
1:1	vb79		rc://*/ta/man/translate/translate-names	ס֜וּף	1	Both the identity and location of **Suph** are unknown. Because of this is it best to simply translate this word as **Suph** without describing it, as both the ULT and UST have done.
1:1	mdz9		rc://*/ta/man/translate/figs-explicitinfo	בֵּֽין & וּ⁠בֵֽין	1	Here the text repeats **between** to describe the relative positions of cities. If it is unnatural in your language to repeat a preposition, you could use a form that identifies an area between cities. Alternate translation: [between … and]
1:2	xcp5		rc://*/ta/man/translate/figs-explicit	אַחַ֨ד עָשָׂ֥ר יוֹם֙	1	The implication is that the journey takes **11 days**. You could include this information if that would be helpful to your readers. Alternate translation: [It is a journey of 11 days]
1:2	k5at		rc://*/ta/man/translate/translate-names	מֵֽ⁠חֹרֵ֔ב	1	**Horeb** is the name of a mountain that is also known as Mount Sinai.
1:3	xm9k		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִי֙	1	Moses is using the word translated **And it happened** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event. Alternate translation: [And it came to pass]
1:3	pc9j		rc://*/ta/man/translate/translate-ordinal	בְּ⁠אַרְבָּעִ֣ים שָׁנָ֔ה בְּ⁠עַשְׁתֵּֽי־עָשָׂ֥ר חֹ֖דֶשׁ	1	If your language would not represent a number in a form such as **in the fortieth year** or **in the eleventh month**, you could represent these numbers in a form that your language would use. Alternate translation: [after 40 years, in month 11]
1:3	zfn5		rc://*/ta/man/translate/translate-hebrewmonths	בְּ⁠עַשְׁתֵּֽי־עָשָׂ֥ר חֹ֖דֶשׁ	1	The **eleventh** month of the Hebrew calendar includes January on Western calendars. You could convert the Hebrew day and month into an approximate date on the calendar that your culture uses. However, the Jews used a lunar calendar, so if you use a solar calendar, the date will be different every year and the translation will not be entirely accurate. So you may wish instead to give the number of the day and the name of the month on the Hebrew calendar and say in a footnote approximately what time of year that is on your calendar.
1:3	e9a7		rc://*/ta/man/translate/figs-metaphor	בְּנֵ֣י יִשְׂרָאֵ֔ל	1	Here, **sons** means “descendants.” Moses is identifying the Israelites as descendants of their ancestor Jacob, who was also known as Israel. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [the descendants of Israel] or [the people of Israel]
