Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	k6lu				0	# Introduction to Hosea\n\n## Part 1: General Introduction\n\n### Outline of Hosea\n\n1. God tells Hosea to marry Gomer as a picture of how Israel relates to Yahweh (1:1–3:5)\n2. Israel betrays, wanders, and sins; Yahweh appeals and pleas for them to return to him (4:1–7:3)\n3. The conflict between Yahweh and Israel explained in various ways (7:4–13:8)\n4. Israel is hostile to Yahweh (13:9–16)\n5. Yahweh’s last appeals to Israel (14:1–9)\n\n### What is the Book of Hosea about?\n\nThis book contains the prophecies of Hosea, son of Beeri. Hosea lived in the northern kingdom of Israel. He often called this kingdom Ephraim or Samaria. Hosea prophesied for about 38 years and predicted that Assyria would destroy the northern kingdom of Israel.\n\nHosea began to prophesy around 753 B.C., just before King Jeroboam II died. At this time, the kingdom of Israel was prosperous but spiritually weak. Hosea warned how Yahweh would punish Israel unless the people turned back to Yahweh and were faithful to him.\n\n### How should the title of this book be translated?\n\nThis book is traditionally named “The Book of Hosea” or just “Hosea.” Translators may also call it “The Book About Hosea” or “The Sayings of Hosea.”\n\n### Who wrote the Book of Hosea?\n\nAlthough this book tells what Hosea prophesied, it is uncertain whether Hosea wrote the book himself. It was probably written after Samaria, the capital of the northern kingdom, was destroyed in 721 B.C.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Prostitution and adultery\n\nDuring the time of Hosea, the people had combined the worship of Yahweh with the worship of Baal and other false gods. Part of worshiping these false gods was having sexual relations with both male and female prostitutes at the pagan shrines. So even though Hosea uses prostitution and marital unfaithfulness to represent abandonment of Yahweh and unfaithfulness to him, the people were also doing this literally. So in the UST of Hosea, rather than translating the terms for prostitution and adultery as idol worship and unfaithfulness to Yahweh, we will most often translate these terms literally, since the people were doing them literally, but the reader must remember that these things are also a symbol of unfaithfulness to Yahweh.\n\n### Why did God command Hosea to marry a prostitute?\n\nGod told Hosea to marry the prostitute Gomer. This represented how the kingdom of Israel related to Yahweh. Israel was unfaithful to Yahweh and broke the covenant with him. This is compared to how a woman who is unfaithful to her husband breaks her marriage agreement with him.\n\n### What is a lawsuit?\n\nMany cultures have a process for resolving disputes through law courts. These legal disputes are called lawsuits. The Book of Hosea contains some legal terms. This is because Yahweh is spoken of as if he were a husband accusing his wife in court of being unfaithful to him. Part of the Book of Hosea follows the form of a lawsuit. A problem is identified (4:1), someone is accused (4:4), someone is found guilty (4:15), and the guilty ones will be punished (5:1).\n\n### Who did the people of the kingdom of Israel worship?\n\nIsrael was supposed to worship Yahweh alone. But they worshiped both Yahweh and the Canaanite gods such as Baal. This was a major reason why Yahweh judged the kingdom of Israel.\n\n## Part 3: Important Translation Issues\n\n### What does the phrase “the declaration of Yahweh” mean?\n\nWhen the prophet uses the phrase “the declaration of Yahweh,” he is attesting that what he has just said comes from Yahweh, not from him, and so Yahweh’s authority is behind it. In some cases, Yahweh himself uses the phrase to attest to the origins and authority of his own speech. Decide as a team how you will represent this phrase in your translation.\n\n### Why are English translations of Hosea very different?\n\nHosea 4–14 has many problems of interpretation. Some phrases in Hosea are beyond how we currently understand the Hebrew language. Many English versions have translated these difficult sections very differently.\n\n### What does the term “Israel” mean in Hosea?\n\nThroughout Hosea, “Israel” and “Ephraim” are used to refer to the northern kingdom of Israel while “Judah” is used to refer to the southern kingdom.
1:intro	de1i					# Hosea 1 Chapter Introduction\n\n## Structure and Formatting\n\n1. Yahweh commands Hosea to marry Gomer (1–3)\n2. The children’s names symbolize judgment on Israel (4–9)\n3 Yahweh promises future restoration and mercy (10–11)\n\n## Religious and Cultural Concepts in This Chapter\n\n### The day of Jezreel\n\n**Jezreel** means “God scatters.” In 1:4 it refers to God scattering the people of Israel to other nations as a punishment. In 1:11 it refers to God scattering Israel as seeds in their own land as a blessing. You could explain that in the text or in a footnote if that would be helpful to your readers.\n\n### Prophetic sign-acts and symbolic names\n\nYahweh commands Hosea to give his three children symbolic names—Jezreel, Lo Ruhamah, and Lo Ammi—each embodying a message of divine judgment. These names function as prophetic acts communicating Israel’s covenant unfaithfulness and the withdrawal of compassion.
1:1	f52t		rc://*/ta/man/translate/figs-metonymy	דְּבַר־יְהוָ֣ה ׀ אֲשֶׁ֣ר הָיָ֗ה אֶל־הוֹשֵׁ֨עַ֙	1	The speaker is using the term **word** to represent what Yahweh said by using words. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: [This is the message that Yahweh communicated to Hosea]
1:1	r16p		rc://*/ta/man/translate/writing-participants	הוֹשֵׁ֨עַ֙ בֶּן־בְּאֵרִ֔י	1	Here Hosea is introducing **Hosea, the son of Beeri** as a new participant in the story. Your language may have its own way of introducing new participants that you can use in your translation. Alternate translation: [a man named Hosea, the son of Beeri]
1:1	zk02		rc://*/ta/man/translate/figs-metonymy	בִּ⁠ימֵ֨י עֻזִּיָּ֥ה יוֹתָ֛ם אָחָ֥ז יְחִזְקִיָּ֖ה מַלְכֵ֣י יְהוּדָ֑ה וּ⁠בִ⁠ימֵ֛י יָרָבְעָ֥ם	1	Here, **in the days** represents the time period during which each king reigned. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [during the reigns of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and of Jeroboam]
1:2	jz10		rc://*/ta/man/translate/writing-newevent	תְּחִלַּ֥ת דִּבֶּר־יְהוָ֖ה בְּ⁠הוֹשֵׁ֑עַ	1	Hosea is using the phrase translated as **The beginning of** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event. Alternate translation: [There was a time when Yahweh spoke through Hosea]
1:2	khgd		rc://*/ta/man/translate/figs-abstractnouns	אֵ֤שֶׁת זְנוּנִים֙ וְ⁠יַלְדֵ֣י זְנוּנִ֔ים	1	If your language does not use an abstract noun for the idea of **prostitutions**, you could express the same idea in another way. Alternate translation: [a promiscuous wife and children born from promiscuity]
1:2	eakf		rc://*/ta/man/translate/grammar-connect-logic-result	כִּֽי־זָנֹ֤ה תִזְנֶה֙ הָ⁠אָ֔רֶץ מֵֽ⁠אַחֲרֵ֖י יְהוָֽה	1	The word translated as **for** indicates that what follows is a reason for what came before. Use a connector in your language that makes it clear that what follows is a reason for what came before. Alternate translation: [because the land prostitutes itself from after Yahweh]
1:2	l1li		rc://*/ta/man/translate/figs-metonymy	תִזְנֶה֙ הָ⁠אָ֔רֶץ מֵֽ⁠אַחֲרֵ֖י יְהוָֽה	1	Here, **land** represents the people of who lived in the land. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [the people of the land have been unfaithful to Yahweh]
1:2	issm		rc://*/ta/man/translate/figs-metaphor	מֵֽ⁠אַחֲרֵ֖י יְהוָֽה	1	Yahweh is speaking as if the Israelites had been walking behind God but then turned away from following **after Yahweh** to walk in a different direction from him. He means that they were unfaithful to him as a wife who is unfaithful to her husband. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [by being unfaithful to Yahweh]
