Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	hp4d				0	# Introduction to Micah\n\n## Part 1: General Introduction\n\n### Outline of Micah\n\n1. Yahweh announces judgment on his people and their leaders (1–3)\n2. Yahweh promises future restoration and righteous rule (4–5)\n3. Yahweh calls his people to repentance and offers hope (6–7)\n\n### What is the Book of Micah about?\n\nThis book contains many of Micah’s prophecies. Micah repeated many similar prophecies as found in Isaiah. Micah warned the kingdoms of Israel and Judah that the Assyrians would soon attack them. Micah condemned those who acted unjustly and immorally. He spoke against those who did not work for a living. He also spoke against the false prophets in Israel and Judah. These false prophets were telling the people that Yahweh would never let a foreign kingdom harm or conquer them.\n\nMicah called the people to please Yahweh by living righteous and holy lives. However, the sinful way they lived and the unjust way they treated their fellow countrymen proved that they no longer wanted to obey and honor Yahweh.\n\n### How should the title of this book be translated?\n\nTranslators may decide to translate the traditional title “The Book of Micah” or just “Micah” in a way that is clearer to the readers. They may decide to call it “The Sayings of Micah.”\n\n### Who wrote Micah?\n\nThe prophet Micah wrote this book. Micah lived at the same time as Isaiah and Hosea. This was sometime between 750 and 700 B.C., during the reigns of Jotham, Ahaz, and Hezekiah, kings of Judah. He began prophesying when he lived in the northern kingdom of Israel. Then he moved to the kingdom of Judah.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Who is the deliverer Micah mentions?\n\nMicah frequently mentioned a king who would deliver the people. It is clear that Micah meant the Messiah, the descendant of David who would rule forever, though he never referred to him as the Messiah.\n\n### Were the Israelites required to offer sacrifices or live holy lives to please Yahweh?\n\nMany of the Old Testament writers were concerned with offering sacrifices according to the law of Moses. However, Micah explained to the people that Yahweh was pleased only when they offered these sacrifices in faith. Without faith, the sacrifices had no meaning.\n\n## Part 3: Important Translation Issues\n\n### What does a translator need to know before translating Micah?\n\nMicah did not often explain how his prophecies were historically situated. This may result in the translator failing to understand implicit information unless they understand Micah’s time. It is therefore suggested that translators understand well the history of the kingdoms of Israel and Judah.\n\n### How do I translate passages where the speaker or addressee is not mentioned explicitly?\n\nMicah did not usually say who was speaking or who was being addressed. Reading the verses before and after the quote will often help the reader to understand who is speaking or being addressed. It is acceptable to make this information explicit so the reader can more easily understand it.\n\n### “let” and “may”\n\nThe ULT uses the English helping verbs “let” and “may” to show that a speaker is expressing a desire that something happen or that someone do something. It uses the verb “let” for more assertive expressions, and it uses the verb “may” for more deferential expressions. For example, when David says in Psalms 69:34 “Let the heavens and the earth praise him,” he means “I want the heavens and the earth to praise him.” Languages that do not have a volitional form might say “The heavens and earth ought to praise him,” or they might use an imperative, “Praise him, heavens and earth!” When Micah says in 5:9 “May your hand rise over your adversaries,” he is being more deferential, even though his wish is urgent, because he is addressing Yahweh, a superior. Languages that do not have a volitional form might say “Yahweh, I desire that your hand rise over your adversaries,” or they might use an imperative with an indication that it is a polite request, “Yahweh, please defeat your adversaries.” Translate this volitional form in the most natural way in your language to indicate that the speaker is expressing what he wants someone to do or what he wishes someone would do.\n\n### How should the text of Micah be formatted?\n\nThe ULT uses a poetic language style like the Hebrew text. Many languages can do this but some languages will not be able to do this. The ULT also sets apart the poetic portions of the text by setting the poetic lines farther to the right on the page than the rest of the text. With the exception of the first verse, the entire book is indented because the prophecies were written as a series of poems.
1:intro	e47z				0	# Micah 1 Chapter Introduction\n\n## Structure and Formatting\n\nMicah is written mainly in a poetic form. Most of the prophets wrote to either the Northern Kingdom or the Southern Kingdom. Micah wrote to both of them at times without clear distinction, as he did in this chapter.\n\n1. Yahweh comes to judge the nations (1–5)\n2. Samaria is destroyed because of its sin (6–7)\n3. Micah mourns the coming judgment on Judah (8–16)\n\n## Religious and Cultural Concepts in This Chapter\n\n### Idolatry as prostitution\n\nSamaria’s idols are called a prostitute’s wages, portraying idolatry as unfaithfulness to Yahweh.\n\n## Translation Issues in This Chapter\n\n### City names\n\nSeveral times in this chapter, the names of the cities are used to describe their destruction. This sounds unusual in English because of its construction in Hebrew. It contains several “plays on words.” “Lachish will be lashed” is an example of this type of construction. This kind of poetic element rarely carries into other languages but including the information in a footnote may be helpful.
1:1	ujde		rc://*/ta/man/translate/figs-123person	דְּבַר־יְהוָ֣ה ׀ אֲשֶׁ֣ר הָיָ֗ה אֶל־מִיכָה֙ הַ⁠מֹּ֣רַשְׁתִּ֔י בִּ⁠ימֵ֥י יוֹתָ֛ם אָחָ֥ז יְחִזְקִיָּ֖ה מַלְכֵ֣י יְהוּדָ֑ה אֲשֶׁר־חָזָ֥ה עַל־שֹׁמְר֖וֹן וִ⁠ירֽוּשָׁלִָֽם	1	Micah is speaking of himself in the third person as **Micah** and **he** to introduce this book.
1:1	bjjj		rc://*/ta/man/translate/writing-pronouns	אֲשֶׁר־חָזָ֥ה	1	The pronoun **he** refers to Micah. It may be helpful to clarify this for your readers. Alternate translation: [which Micah saw]
1:1	ytv9		rc://*/ta/man/translate/figs-possession	דְּבַר־יְהוָ֣ה	1	Micah is using the possessive form to describe a **word** that comes from **Yahweh**. If a speaker of your language would not use the possessive form for this, you could express this idea in another way. Alternate translation: [The word from Yahweh]
1:2	utyh		rc://*/ta/man/translate/figs-apostrophe	הַקְשִׁ֖יבִי אֶ֣רֶץ	1	Micah is speaking to the **earth**, which he knows cannot hear him. He is doing this to communicate to the people listening to him that he feels very strongly about the judgment that Yahweh is about to bring. If it would be helpful in your language, you could translate these words as if he were speaking directly to the people about the earth. Alternate translation: [everyone on earth should pay attention]
1:2	rbh3		rc://*/ta/man/translate/figs-metonymy	אֶ֣רֶץ וּ⁠מְלֹאָ֑⁠הּ	1	Here, **its fullness** represents everything and everyone that fills the earth. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [earth, and everything and everyone in it]
1:2	dssw		rc://*/ta/man/translate/figs-abstractnouns	מֵ⁠הֵיכַ֥ל קָדְשֽׁ⁠וֹ	1	If your language does not use an abstract noun for the idea of **holiness**, you could express the same idea in another way. Alternate translation: [from his holy palace]
1:3	t5fj		rc://*/ta/man/translate/writing-foreground	כִּֽי־הִנֵּ֥ה	1	Micah is using the term **behold** to focus his listeners’ attention on what he is about to say. Your language may have a comparable expression that you can use in your translation. Alternate translation: [Pay attention for]
1:3	aw69		rc://*/ta/man/translate/figs-metaphor	וְ⁠דָרַ֖ךְ עַל־במותי אָֽרֶץ	1	Micah is speaking of Yahweh acting with power over the earth as if he would **tread on the high places of the earth**. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [act with power over even the highest places of the earth]
