Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	x5wy	keyterm	דְּבַר־יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/wordofgod
1:1	ixxz	name	הוֹשֵׁ֨עַ֙	1	rc://*/tw/dict/bible/names/hosea
1:1	zqjh	name	עֻזִּיָּ֥ה	1	rc://*/tw/dict/bible/names/uzziah
1:1	krq1	name	יוֹתָ֛ם	1	rc://*/tw/dict/bible/names/jotham
1:1	jzdq	name	אָחָ֥ז	1	rc://*/tw/dict/bible/names/ahaz
1:1	vq6u	name	יְחִזְקִיָּ֖ה	1	rc://*/tw/dict/bible/names/hezekiah
1:1	zq6y		מַלְכֵ֣י	1	rc://*/tw/dict/bible/other/king
1:1	brwx	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/kingdomofjudah
1:1	hdtn	name	יָרָבְעָ֥ם	1	rc://*/tw/dict/bible/names/jeroboam
1:1	zdey	name	יוֹאָ֖שׁ	1	rc://*/tw/dict/bible/names/joash
1:1	mwhn		מֶ֥לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	hce4	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:2	k8uy	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	eyqd	name	בְּ⁠הוֹשֵׁ֑עַ	1	rc://*/tw/dict/bible/names/hosea
1:2	vhyk		זְנוּנִים֙	1	rc://*/tw/dict/bible/other/prostitute
1:2	xddn		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:3	nfyx		וַ⁠תַּ֥הַר	1	rc://*/tw/dict/bible/other/conceive
1:3	s8ux		וַ⁠תֵּֽלֶד	1	rc://*/tw/dict/bible/other/bear
1:4	ruxn	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:4	jvca	keyterm	קְרָ֥א	1	rc://*/tw/dict/bible/kt/call-toname
1:4	a95m	name	יִזְרְעֶ֑אל	1	rc://*/tw/dict/bible/names/jezreel
1:4	mdcv		אֶת־דְּמֵ֤י	1	rc://*/tw/dict/bible/other/bloodshed
1:4	xc44		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
1:4	rbht	name	יֵה֔וּא	1	rc://*/tw/dict/bible/names/jehu
1:4	j4ka		מַמְלְכ֖וּת	1	rc://*/tw/dict/bible/other/kingdom
1:4	y2c3		בֵּ֥ית יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/other/house-descendants_nation
1:5	rft8		אֶת־קֶ֣שֶׁת	1	rc://*/tw/dict/bible/other/bow
1:5	nchx	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:5	gkbw	name	יִזְרְעֶֽאל	1	rc://*/tw/dict/bible/names/jezreel
1:6	tetc		וַ⁠תַּ֤הַר	1	rc://*/tw/dict/bible/other/conceive
1:6	gcrt		וַ⁠תֵּ֣לֶד	1	rc://*/tw/dict/bible/other/bear
1:6	pzrc	keyterm	קְרָ֥א	1	rc://*/tw/dict/bible/kt/call-toname
1:6	r3j3	keyterm	אֲרַחֵם֙	1	rc://*/tw/dict/bible/kt/compassion
1:6	iuw7		אֶת־בֵּ֣ית יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/other/house-descendants_nation
1:7	d6cf		בֵּ֤ית	1	rc://*/tw/dict/bible/other/house
1:7	xsep	name	יְהוּדָה֙	1	rc://*/tw/dict/bible/names/judah
1:7	yexh	keyterm	אֲרַחֵ֔ם	1	rc://*/tw/dict/bible/kt/compassion
1:7	j6sx		וְ⁠הֽוֹשַׁעְתִּ֖י⁠ם	1	rc://*/tw/dict/bible/kt/save
1:7	u9pr	keyterm	בַּ⁠יהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	hc4t	keyterm	אֱלֹֽהֵי⁠הֶ֑ם	1	rc://*/tw/dict/bible/kt/god
1:7	ipbc		בְּ⁠קֶ֤שֶׁת	1	rc://*/tw/dict/bible/other/bow
1:7	d46u		וּ⁠בְ⁠חֶ֨רֶב֙	1	rc://*/tw/dict/bible/other/sword
1:7	r36m		בְּ⁠סוּסִ֖ים	1	rc://*/tw/dict/bible/other/horse
1:8	u3pf		וַ⁠תַּ֖הַר	1	rc://*/tw/dict/bible/other/conceive
1:8	mcsi		וַ⁠תֵּ֥לֶד	1	rc://*/tw/dict/bible/other/bear
1:9	q3un	keyterm	קְרָ֥א	1	rc://*/tw/dict/bible/kt/call-toname
1:10	x5wt	keyterm	יִשְׂרָאֵל֙	1	rc://*/tw/dict/bible/kt/israel
1:10	f4ds	keyterm	אֵֽל	1	rc://*/tw/dict/bible/kt/god
1:11	kvg8	name	יְהוּדָ֤ה	1	rc://*/tw/dict/bible/names/judea
1:11	md6d	keyterm	יִשְׂרָאֵל֙	1	rc://*/tw/dict/bible/kt/israel
1:11	a7st		וְ֠⁠נִקְבְּצוּ	1	rc://*/tw/dict/bible/other/assembly
1:11	ygec	keyterm	וְ⁠שָׂמ֥וּ	1	rc://*/tw/dict/bible/kt/appoint
1:11	ymsh		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
1:11	rexx	name	יִזְרְעֶֽאל	1	rc://*/tw/dict/bible/names/jezreel
2:2	ej3m		זְנוּנֶ֨י⁠הָ֙	1	rc://*/tw/dict/bible/other/prostitute
2:2	a9kr	keyterm	וְ⁠נַאֲפוּפֶ֖י⁠הָ	1	rc://*/tw/dict/bible/kt/adultery
2:3	gtbh		כַ⁠מִּדְבָּ֗ר	1	rc://*/tw/dict/bible/other/desert
2:3	wcam		כְּ⁠אֶ֣רֶץ	1	rc://*/tw/dict/bible/other/earth
2:3	tgqb		צִיָּ֔ה	1	rc://*/tw/dict/bible/other/barren
2:3	x22m		וַ⁠הֲמִתִּ֖י⁠הָ	1	rc://*/tw/dict/bible/other/slain
2:4	i57m	keyterm	אֲרַחֵ֑ם	1	rc://*/tw/dict/bible/kt/compassion
2:4	p2ai		זְנוּנִ֖ים	1	rc://*/tw/dict/bible/other/prostitute
2:5	urec		זָֽנְתָה֙	1	rc://*/tw/dict/bible/other/prostitute
2:5	h5bh		הֽוֹרָתָ֑⁠ם	1	rc://*/tw/dict/bible/other/conceive
2:5	czhd		מְאַהֲבַ⁠י֙	1	rc://*/tw/dict/bible/other/lover
2:5	kgbb		לַחְמִ⁠י֙	1	rc://*/tw/dict/bible/other/bread
2:5	a2m4		שַׁמְנִ֖⁠י	1	rc://*/tw/dict/bible/other/olive
2:6	v39f		בַּ⁠סִּירִ֑ים	1	rc://*/tw/dict/bible/other/thorn
2:7	rhqw		אֶת־מְאַהֲבֶ֨י⁠הָ֙	1	rc://*/tw/dict/bible/other/lover
2:7	nkdq		תַשִּׂ֣יג	1	rc://*/tw/dict/bible/other/overtake
2:7	nzzb		וּ⁠בִקְשָׁ֖תַ⁠ם	1	rc://*/tw/dict/bible/other/seek
2:7	u9b8	keyterm	ט֥וֹב	1	rc://*/tw/dict/bible/kt/good
2:8	cxb4		לֹ֣א יָֽדְעָ֔ה	1	rc://*/tw/dict/bible/other/discernment
2:8	nd7u		הַ⁠דָּגָ֖ן	1	rc://*/tw/dict/bible/other/grain
2:8	p7fe		וְ⁠הַ⁠תִּיר֣וֹשׁ	1	rc://*/tw/dict/bible/other/wine
2:8	w9ee		וְ⁠הַ⁠יִּצְהָ֑ר	1	rc://*/tw/dict/bible/other/oil
2:8	j96m		וְ⁠כֶ֨סֶף	1	rc://*/tw/dict/bible/other/silver
2:8	zxtz		הִרְבֵּ֥יתִי	1	rc://*/tw/dict/bible/other/multiply
2:8	vm8v		וְ⁠זָהָ֖ב	1	rc://*/tw/dict/bible/other/gold
2:8	kifu	name	לַ⁠בָּֽעַל	1	rc://*/tw/dict/bible/names/baal
2:9	d6e4		דְגָנִ⁠י֙	1	rc://*/tw/dict/bible/other/grain
2:9	r9pf		וְ⁠תִירוֹשִׁ֖⁠י	1	rc://*/tw/dict/bible/other/wine
2:9	xzqb	keyterm	בְּ⁠מֽוֹעֲד֑⁠וֹ	1	rc://*/tw/dict/bible/kt/appoint
2:10	p7fw		מְאַהֲבֶ֑י⁠הָ	1	rc://*/tw/dict/bible/other/lover
