Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	apb9	keyterm	דְּבַר־יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/wordofgod
1:1	nend	name	מִיכָה֙	1	rc://*/tw/dict/bible/names/micah
1:1	kvx8	name	יוֹתָ֛ם	1	rc://*/tw/dict/bible/names/jotham
1:1	u6tl	name	אָחָ֥ז	1	rc://*/tw/dict/bible/names/ahaz
1:1	nsps	name	יְחִזְקִיָּ֖ה	1	rc://*/tw/dict/bible/names/hezekiah
1:1	jf9d		מַלְכֵ֣י	1	rc://*/tw/dict/bible/other/king
1:1	p8rf	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/kingdomofjudah
1:1	w2u3	name	שֹׁמְר֖וֹן	1	rc://*/tw/dict/bible/names/samaria
1:1	c3cd	name	וִ⁠ירֽוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:2	v79h		אֶ֣רֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	m3zn	keyterm	אֲדֹנָ֨⁠י יְהוִ֤ה	1	rc://*/tw/dict/bible/kt/lordyahweh
1:2	f9xu	keyterm	לְ⁠עֵ֔ד	1	rc://*/tw/dict/bible/kt/testimony
1:2	wm8w		אֲדֹנָ֖⁠י	1	rc://*/tw/dict/bible/kt/lord
1:2	i6qg		מֵ⁠הֵיכַ֥ל	1	rc://*/tw/dict/bible/other/palace
1:2	up55	keyterm	קָדְשֽׁ⁠וֹ	1	rc://*/tw/dict/bible/kt/holy
1:3	e8u3	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	hdud		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:5	h4eu	keyterm	בְּ⁠פֶ֤שַׁע	1	rc://*/tw/dict/bible/kt/transgression
1:5	x6w4	name	יַֽעֲקֹב֙	1	rc://*/tw/dict/bible/names/jacob
1:5	h8p7	keyterm	וּ⁠בְ⁠חַטֹּ֖אות	1	rc://*/tw/dict/bible/kt/sin
1:5	w9na		בֵּ֣ית יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/other/house-descendants_nation
1:5	an7p	name	שֹֽׁמְר֔וֹן	1	rc://*/tw/dict/bible/names/samaria
1:5	dmmc	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:5	ncum	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:6	tpht	name	שֹׁמְר֛וֹן	1	rc://*/tw/dict/bible/names/samaria
1:6	etan		לְ⁠עִ֥י	1	rc://*/tw/dict/bible/other/ruin
1:6	dmg2		לְ⁠מַטָּ֣עֵי	1	rc://*/tw/dict/bible/other/sow
1:6	uksu		כָ֑רֶם	1	rc://*/tw/dict/bible/other/vineyard
1:6	fcnu		וִ⁠יסֹדֶ֖י⁠הָ	1	rc://*/tw/dict/bible/other/foundation
1:7	vfe9	keyterm	פְּסִילֶ֣י⁠הָ	1	rc://*/tw/dict/bible/other/image
1:7	sx4b	keyterm	עֲצַבֶּ֖י⁠הָ	1	rc://*/tw/dict/bible/kt/falsegod
1:7	n2hw		שְׁמָמָ֑ה	1	rc://*/tw/dict/bible/other/desolate
1:7	zxsr		זוֹנָה֙	1	rc://*/tw/dict/bible/other/prostitute
1:8	hwwu	keyterm	אֶסְפְּדָ֣ה	1	rc://*/tw/dict/bible/kt/lament
1:8	etc9	keyterm	מִסְפֵּד֙	1	rc://*/tw/dict/bible/kt/lament
1:8	w8a5		וְ⁠אֵ֖בֶל	1	rc://*/tw/dict/bible/other/mourn
1:9	gnbs	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:9	au26		שַׁ֥עַר	1	rc://*/tw/dict/bible/other/gate
1:9	gznd	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:10	bvfr	name	בְּ⁠גַת֙	1	rc://*/tw/dict/bible/names/gath
1:10	wxzc		תַּגִּ֔ידוּ	1	rc://*/tw/dict/bible/other/declare
1:10	gksx		בָּכ֖וֹ	1	rc://*/tw/dict/bible/other/mourn
1:11	na4h		בֹ֑שֶׁת	1	rc://*/tw/dict/bible/other/shame
1:11	qpd9		מִסְפַּד֙	1	rc://*/tw/dict/bible/other/mourn
1:12	vuq9	keyterm	לְ⁠ט֖וֹב	1	rc://*/tw/dict/bible/kt/good
1:12	zc7m	keyterm	רָע֙	1	rc://*/tw/dict/bible/kt/evil
1:12	bv7z	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:12	ey35		לְ⁠שַׁ֖עַר	1	rc://*/tw/dict/bible/other/gate
1:12	qshq	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:13	rhqq		הַ⁠מֶּרְכָּבָ֛ה	1	rc://*/tw/dict/bible/other/chariot
1:13	fi26		לָ⁠רֶ֖כֶשׁ	1	rc://*/tw/dict/bible/other/horse
1:13	zy2x	keyterm	חַטָּ֥את	1	rc://*/tw/dict/bible/kt/sin
1:13	jmpm	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
1:13	ukv3	keyterm	פִּשְׁעֵ֥י	1	rc://*/tw/dict/bible/kt/transgression
1:13	zdw6	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:14	tgdz		בָּתֵּ֤י	1	rc://*/tw/dict/bible/other/house
